"weekday","hour"
"Friday",16
"Friday",18
"Friday",19
"Saturday",9
"Monday",11
"Monday",14
"Tuesday",16
"Tuesday",17
"Wednesday",8
"Wednesday",10
"Wednesday",19
"Wednesday",19
"Wednesday",22
"Wednesday",22
"Wednesday",22
"Saturday",0
"Saturday",0
"Saturday",21
"Saturday",19
"Monday",7
"Monday",19
"Tuesday",15
"Tuesday",18
"Saturday",18
"Sunday",16
"Wednesday",15
"Wednesday",20
"Wednesday",21
"Saturday",8
"Saturday",9
"Monday",11
"Tuesday",19
"Tuesday",19
"Thursday",19
"Saturday",18
"Monday",11
"Monday",12
"Monday",20
"Tuesday",12
"Friday",14
"Friday",14
"Friday",14
"Friday",14
"Saturday",13
"Saturday",15
"Wednesday",16
"Thursday",19
"Thursday",22
"Friday",9
"Friday",12
"Saturday",9
"Monday",18
"Tuesday",16
"Wednesday",19
"Thursday",21
"Saturday",17
"Wednesday",4
"Sunday",4
"Tuesday",21
"Wednesday",14
"Friday",16
"Monday",14
"Sunday",17
"Monday",10
"Saturday",9
"Tuesday",15
"Monday",16
"Monday",16
"Tuesday",8
"Saturday",22
"Friday",15
"Friday",15
"Saturday",12
"Sunday",11
"Monday",11
"Tuesday",21
"Saturday",15
"Saturday",15
